category,clip_id,content_sha256,crop,derivation,first_frame_dhash,fps,height,license,n_frames,notes,parent_scene_id,provenance,source_credit,source_id,source_kind,source_license,source_sha256,split,t_end_s,t_start_s,width
low-detail,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,"260,1245,1697,2052",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,ec9e67efdfbd59f9,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Phantom 4 Pro V2.0, CC BY-SA 4.0, Chemsty)",natural:74983792,local_file,Chemsty,commons:74983792,data\real\natural\074983792_idongandnamhae.jpg,CC BY-SA 4.0,ebd6dd3ff5bf23bdc6f3a26d32c74ad4d6d9e7b8e2e183a2483c50cda6809539,test,1.9201,0.0,256
low-detail,nat_081047795,9c58d80dc629914fbe5b8019e71e6944ce511c19d1e49ce6c0f1659de2fd052e,"1680,926,3117,1835",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,cc8cc8cc6c745048,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Zenmuse X5S (Inspire 2), CC BY-SA 4.0, Chiranjit.das.official)",natural:81047795,local_file,Chiranjit.das.official,commons:81047795,data\real\natural\081047795_itc_royal_bengalz.jpg,CC BY-SA 4.0,434e479f812fe684f6ee145a21111d3489ea04b08e8372bf443d1c222355cff0,test,1.9201,0.0,256
low-detail,nat_097165575,1a4094b54284e94f3684cb3ad1feca102208da03681a2b01a37853fe0024ceaa,"404,1857,1841,2878",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,776c58756363e36d,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mavic Air, CC BY-SA 4.0, Giles Laurent)",natural:97165575,local_file,Giles Laurent,commons:97165575,data\real\natural\097165575_15_bern_photo_by_giles_laurent.jpg,CC BY-SA 4.0,c79620fc3cc71a84ed64049cf09d09e6da9e67571b6056c992afacca7c695490,test,1.9201,0.0,256
low-detail,nat_098913003,a59992d88b2ace18128fa81ba6ffc0f19eb7ba28d1d2195f9238ffac6291105a,"631,846,2068,1653",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,d989f8b82c0b4f1a,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mini 2, CC BY-SA 4.0, Thomas Berwing)",natural:98913003,local_file,Thomas Berwing,commons:98913003,data\real\natural\098913003_2021_01_15_sankt_fides_soelden.jpg,CC BY-SA 4.0,bd420c265c7f9541970241e36ee6c88aeaf8983dfc641efc9cbdb65657b1f6dd,test,1.9201,0.0,256
low-detail,nat_099599833,5a7eee8c71fd8457b39f0dbef8f77dc776bce318d6494a9b0645b4ea722f0486,"1281,183,2718,1140",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,034201047561f171,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Zenmuse X5S (Inspire 2), CC BY-SA 4.0, Kywam)",natural:99599833,local_file,Kywam,commons:99599833,data\real\natural\099599833_chateau_de_la_barolliere_dji_0001.jpg,CC BY-SA 4.0,07f45bf7a471419bf0ce2ad9c44fbb0a6ea615a45f2921642bdd890520313a43,test,1.9201,0.0,256
low-detail,nat_105627169,48808486030d86d26ad811df40509a68e77f10dba6c751c9c46a36dc4e95e77b,"130,0,1567,1070",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,400101010101640d,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Zenmuse X5S (Inspire 2), CC BY-SA 4.0, Sharkyaloha2017)",natural:105627169,local_file,Sharkyaloha2017,commons:105627169,data\real\natural\105627169_01_front.jpg,CC BY-SA 4.0,eddbd58653384a9f439eb47e1f31e2cd67e259af8dd5da84c303b04a9adb544c,test,1.9201,0.0,256
low-detail,nat_106651461,1d19d1edba9feb1a52bf348e7299d759383824d4c758417d55045749cf110f36,"1281,628,2718,1435",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,9dcd5d2d8313b321,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mini 2, CC BY-SA 4.0, Luis Fermín TURIEL PEREDO)",natural:106651461,local_file,Luis Fermín TURIEL PEREDO,commons:106651461,data\real\natural\106651461_02fuentelavadero_guarnizo.jpg,CC BY-SA 4.0,93df8a2fa1defb1dadb32bc931671ceb5fae0bad4ca3e97ff7e7b39a1e8bfb10,test,1.9201,0.0,256
low-detail,nat_108911529,a0397d7cd43cc939ac32b29f2b9cfa8c44991d5c913600ecf69ab048ad2a5baa,"1320,317,2711,1074",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,24e060b60d80e0f0,8.333,192,CC BY-SA 2.0,16,"window-motion sequence over a natural aerial photograph (DJI Mini 2, CC BY-SA 2.0, Kirt Edblom from Kihei, Hi, United States)",natural:108911529,local_file,"Kirt Edblom from Kihei, Hi, United States",commons:108911529,data\real\natural\108911529_big_beach_387_explore_08_17_2021_flickr_kirt_edblom.jpg,CC BY-SA 2.0,b324d4f7e39a04360d0213b85c9ac09c625aafba8adc7dc0072d6f39160a7a04,test,1.9201,0.0,256
low-detail,nat_116466520,699b6f23d90e451f4476cc734b9634a68d5c619c724ecca30b0bcddb202a23f4,"2135,307,3572,1384",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,00000008ca0a08e6,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mavic Air 2, CC BY-SA 4.0, MasaneMiyaPA)",natural:116466520,local_file,MasaneMiyaPA,commons:116466520,data\real\natural\116466520_20220327.jpg,CC BY-SA 4.0,9709c101aa194d3eb2bb38d7bbd15a9b0b64c62e235cd3ea04abc4e9bb64e30b,test,1.9201,0.0,256
low-detail,nat_122435702,38a92a80080b9aa99e8276db981a6e545a74667e9e4a53d1c7227b098028f5c9,"2118,376,3555,1183",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,8e18a3af89d9c91c,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mavic Air 2, CC BY-SA 4.0, InvadingInvader)",natural:122435702,local_file,InvadingInvader,commons:122435702,data\real\natural\122435702_2022_daly_city_bart.jpg,CC BY-SA 4.0,1c502306864d7b85186afdfc5efa36ce9e93657281cc5658b44ee0537fe322a4,test,1.9201,0.0,256
low-detail,nat_123079448,bf961d34452b247889279424299361126860e4579614b8c7c93f857b116d0b0d,"885,931,2322,2008",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,cab3b2654d362216,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mavic Air 2, CC BY-SA 4.0, Aboubacarkhoraa)",natural:123079448,local_file,Aboubacarkhoraa,commons:123079448,data\real\natural\123079448_h_pital_donka_vue_a_rien_en_2022_02.jpg,CC BY-SA 4.0,03960dd67408544878d455fec65a5358eee6277f04902961b36f82a861774dbf,test,1.9201,0.0,256
low-detail,nat_123689542,66da1a437c030ee508a122dfbb77ffe19b8ce3dc19627ba6cec5453eedf332b2,"366,1076,1803,1883",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,11dee797b5b1a39d,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mini 3 Pro, CC BY-SA 4.0, Llywelyn2000)",natural:123689542,local_file,Llywelyn2000,commons:123689542,data\real\natural\123689542_5ed_gorymdaith_yescymru_the_5th_yescymru_and_auob_march_in_c.jpg,CC BY-SA 4.0,155688b71ca50fd6a3056667c4f29c9b975e7e166dc6b58ab6b7e5a17d5ecb3d,test,1.9201,0.0,256
low-detail,nat_132645039,2914946b8ae4c6c34022d96b3d9b34d27ba0a861f20d010657e9e5b66b9f8132,"1619,1577,3056,2534",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,6898d1b5bda9e6e6,8.333,192,CC0,16,"window-motion sequence over a natural aerial photograph (DJI Mini 3 Pro, CC0, FriendlyToaster)",natural:132645039,local_file,FriendlyToaster,commons:132645039,data\real\natural\132645039_48_20230521mcloughlinhsaerial.jpg,CC0,eb1677119470a06543383bcdfe577cca012ed8743e1a059d24d857dbd2e9e63e,test,1.9201,0.0,256
low-detail,nat_144041236,e78b6a9ee90899e4deaf9a784a867d34e2b2bdd9ceb5175061641d249fdd3486,"1930,1645,3367,2722",послідовність зі штучним рухом вікна по природному зображенні: вирізка панорамується між двома прямокутниками і усереднюється до 256x192,d67c727b6d907038,8.333,192,CC BY-SA 4.0,16,"window-motion sequence over a natural aerial photograph (DJI Mini 3 Pro, CC BY-SA 4.0, Ladislaus Hoffner)",natural:144041236,local_file,Ladislaus Hoffner,commons:144041236,data\real\natural\144041236_2023_09_09_itertal_dji_45.jpg,CC BY-SA 4.0,05342627abc1f4474b1f7ee30457085cdd17915ed140328e6684fc7f2b18338e,test,1.9201,0.0,256
