data_table,experiment,figure,files,params,reason,status,title_en,title_uk
runs/drone\figures\G09.csv,E02,G09,runs/drone\figures\G09.png;runs/drone\figures\G09.svg;runs/drone\figures\G09.pdf,runs/drone\figures\G09.json,,ready,Content dependence,Залежність від вмісту
runs/drone\figures\G10.csv,E02,G10,runs/drone\figures\G10.png;runs/drone\figures\G10.svg;runs/drone\figures\G10.pdf,runs/drone\figures\G10.json,,ready,Distribution of the gain,Розподіл виграшу
,E01,G11,,,немає таблиці e01_rate_quality.csv - відповідний експеримент не запускався у цьому прогоні,pending,Compression on a clean channel,Стиснення на чистому каналі
runs/drone\figures\G12.csv,E01,G12,runs/drone\figures\G12.png;runs/drone\figures\G12.svg;runs/drone\figures\G12.pdf,runs/drone\figures\G12.json,,ready,Overhead breakdown,Накладні витрати
,E03,G13,,,немає таблиці sweeps.csv - відповідний експеримент не запускався у цьому прогоні,pending,Useful data delivered in time,"Корисні дані, отримані вчасно"
runs/drone\figures\G14.csv,E09,G14,runs/drone\figures\G14.png;runs/drone\figures\G14.svg;runs/drone\figures\G14.pdf,runs/drone\figures\G14.json,,ready,Rate Pareto front,Межа Парето за швидкістю
runs/drone\figures\G15.csv,E09,G15,runs/drone\figures\G15.png;runs/drone\figures\G15.svg;runs/drone\figures\G15.pdf,runs/drone\figures\G15.json,,ready,Latency Pareto front,Межа Парето за затримкою
runs/drone\figures\G16.csv,E09,G16,runs/drone\figures\G16.png;runs/drone\figures\G16.svg;runs/drone\figures\G16.pdf,runs/drone\figures\G16.json,,ready,Buffer Pareto front,Межа Парето за буфером
,E03,G17,,,немає таблиці sweeps.csv - відповідний експеримент не запускався у цьому прогоні,pending,Noise sensitivity,Чутливість до шуму
,E03,G18,,,немає таблиці sweeps.csv - відповідний експеримент не запускався у цьому прогоні,pending,Burst-length sensitivity,Чутливість до довжини burst
,E03,G19,,,немає таблиці sweeps.csv - відповідний експеримент не запускався у цьому прогоні,pending,Burst-rate sensitivity,Чутливість до частоти burst
,E03,G20,,,немає таблиці sweeps.csv - відповідний експеримент не запускався у цьому прогоні,pending,Jitter sensitivity,Чутливість до джитеру
,E03,G21,,,немає таблиці sweeps.csv - відповідний експеримент не запускався у цьому прогоні,pending,Low-pass sensitivity,Чутливість до фільтрації
,E04,G22,,,немає таблиці interaction.csv - відповідний експеримент не запускався у цьому прогоні,pending,Gain and offset,Підсилення та зміщення
,E04,G23,,,немає таблиці interaction.csv - відповідний експеримент не запускався у цьому прогоні,pending,Noise and burst interaction,Спільний вплив шуму й burst
,E07,G24,,,немає таблиці recovery.csv - відповідний експеримент не запускався у цьому прогоні,pending,Recovery time,Час відновлення
,E07,G25,,,немає таблиці dynamics.csv - відповідний експеримент не запускався у цьому прогоні,pending,Quality dynamics,Динаміка якості
,E07,G26,,,немає таблиці dynamics.csv - відповідний експеримент не запускався у цьому прогоні,pending,Freshness of the display,Актуальність показу
,E05,G27,,,немає таблиці placement_geometry.csv - відповідний експеримент не запускався у цьому прогоні,pending,Interleaver geometry,Геометрія перемежувачів
,E05,G28,,,немає таблиці codewords.csv - відповідний експеримент не запускався у цьому прогоні,pending,Codeword damage,Пошкодження кодових слів
,E05,G29,,,немає таблиці codewords.csv - відповідний експеримент не запускався у цьому прогоні,pending,Analytic bound check,Перевірка аналітичної межі
,E05,G30,,,немає таблиці joint_loss.csv - відповідний експеримент не запускався у цьому прогоні,pending,Joint description loss,Спільні втрати описів
,E06,G31,,,немає таблиці ablations.csv - відповідний експеримент не запускався у цьому прогоні,pending,MDC x placement ablation,Абляція MDC x розміщення
,E06,G32,,,немає таблиці ablations.csv - відповідний експеримент не запускався у цьому прогоні,pending,Unit size and FEC,Розмір одиниці та FEC
,E06,G33,,,немає таблиці ablations.csv - відповідний експеримент не запускався у цьому прогоні,pending,Window and latency,Вікно й затримка
,E06,G34,,,немає таблиці ablations.csv - відповідний експеримент не запускався у цьому прогоні,pending,Gap-fill policy,Політика відновлення пропусків
,E08,G35,,,немає файлу attacks.json,pending,Boundary-consistency attack,Атака за сумісністю меж
,E08,G36,,,немає файлу attacks.json,pending,Known or chosen frames,Відомі або обрані кадри
,E08,G37,,,немає файлу attacks.json,pending,Lab LFSR brute force,Перебір лабораторного LFSR
,E08,G38,,,немає файлу protocol_checks.json,pending,Protocol checks,Перевірки протоколу
,E09,G39,,,немає таблиці timings.csv - відповідний експеримент не запускався у цьому прогоні,pending,Pipeline stage timing,Час етапів конвеєра
,E09,G40,,,немає таблиці scaling.csv - відповідний експеримент не запускався у цьому прогоні,pending,Scaling,Масштабування
runs/drone\figures\G41.csv,E09,G41,runs/drone\figures\G41.png;runs/drone\figures\G41.svg;runs/drone\figures\G41.pdf,runs/drone\figures\G41.json,,ready,Memory,Пам'ять
,E10,G42,,,немає файлу cvbs.json,pending,Transfer level A -> B,Перенесення рівень A -> B
runs/drone\figures\G43.csv,E07,G43,runs/drone\figures\G43.png;runs/drone\figures\G43.svg;runs/drone\figures\G43.pdf,runs/drone\figures\G43.json,,ready,Event schedule,Подієвий розклад
